,Name,Start1,Lat1,Lon1,Horizontal_uncertainty1,Height1,Vertical_uncertainty1,Stake_height1,GPS_height1,Stake_height_sigma1,surface_cover1,Start2,Lat2,Lon2,Horizontal_uncertainty2,Height2,Vertical_uncertainty2,Stake_height2,GPS_height2,Stake_height_sigma2,surface_cover2,Q1,Q2,Duration,Distance,Azimuth,Velocity,x,y,u,v,w,Horizontal uncertainty,Vertical uncertainty,stake_height_change
GPS-Track4-10,Track 4-10,12/20/23 23:49,-76.75368712,159.1074133,0.0032,1997.4934,0.014,0.91,0.935,0.001,,12/30/24 0:00,-76.75368279,159.107413,0.0035,1997.5111,0.0159,0.860425,0.90884375,0.0015875,snow cover,1,1,375 days 00:11:00,0.4815353669977008,-0.909850194,0.4690154474557606,515465.22181288217,-1350394.219,0.17241548011265698,-0.431016286,0.017699999999877036,0.0067,0.0299,-0.049575
GPS-Track5-6,Track 5-6,12/18/23 1:11,-76.74655472,159.1335352,0.0034,1991.7555,0.0147,1.018,1.043,0.001,,12/10/24 3:03,-76.74655122,159.1335362,0.0043,1991.7251,0.0185,0.964,1.01241875,0.001,snow cover,1,1,358 days 01:52:00,0.3900167982063162,3.7489905197561066,0.39791518308619267,515129.0798584429,-1351362.552,0.11592390689812372,-0.376408037,-0.0304,0.0077,0.0332,-0.054
GPS016,016,12/13/23 0:40,-76.71777461,159.2411383,0.003,1942.0123,0.0135,0.498,0.534,0.001,ice surface,12/19/24 0:46,-76.71777307,159.2411474,0.0036,1942.0455,0.0152,0.530225,0.57864375,0.0015875,"blue ice, snow patches nearby",1,1,372 days 00:06:00,0.2887359340282595,53.63461469906624,0.2834967739350048,513712.8637,-1355289.522,-0.152360501,-0.235732157,0.0332,0.0066,0.0287,0.032225
GPS-Track4-8,Track 4-8,12/20/23 3:41,-76.73690945,159.1375631,0.0032,1988.1929,0.0144,0.948,0.973,0.001,snow surface,12/11/24 22:14,-76.73690614,159.137564,0.0041,1988.1728,0.0163,0.9096375,0.95805625,0.0015875,snow cover,1,1,357 days 18:33:00,0.3687711402202005,3.570795954397056,0.3772931623681463,515412.1272290647,-1352390.724,0.11100259315632889,-0.356571512,-0.0201,0.0073,0.0307,-0.0383625
GPS024,024,12/12/23 21:28,-76.70471984,159.2892755,0.0031,1921.7622,0.0138,1.142,1.178,0.001,ice surface,12/19/24 2:22,-76.70471813,159.2892853,0.0034,1921.7729,0.0152,1.184275,1.23269375,0.0015875,"blue ice, snow patches nearby",1,1,372 days 04:54:00,0.3145714970233267,52.82036836083932,0.3088635464725002,513082.19026808714,-1357064.706,-0.162548091,-0.259026998,0.010700000000042564,0.0065,0.029,0.042275
GPS-Track5-5,Track 5-5,12/17/23 23:04,-76.74535704,159.172671,0.0032,1986.6452,0.0142,0.851,0.882,0.001,,12/11/24 21:32,-76.74535418,159.1726749,0.0035,1986.5574,0.0153,0.866775,0.91519375,0.0015875,snow cover,1,1,359 days 22:28:00,0.3331990662159357,17.36782412442527,0.3389998856138455,514252.73469022836,-1351837.279,0.020248193666484844,-0.334939808,-0.0878,0.0067,0.0295,0.015775
GPS007,007,12/17/23 23:48,-76.74926427,159.1520535,0.0032,1991.999,0.0146,0.896,0.923,0.001,snow surface,12/13/24 21:16,-76.74926091,159.1520554,0.0036,1991.9399,0.0162,0.860425,0.90884375,0.0015875,"snow cover, including freshly fallen snow",1,1,361 days 21:28:00,0.37674074889516296,7.387774709895135,0.38117606242093705,514586.1413797913,-1351250.282,0.087820591,-0.366922538,-0.0591,0.0068,0.0308,-0.035575
GPSCDS-6,CDS-6,12/29/23 4:33,-76.75527926,159.4268907,0.0034,1865.0989,0.0144,0.879,0.852,0.001,ice surface,1/8/25 3:17,-76.75527957,159.4268905,0.0033,1865.086,0.0144,0.90566875,0.9540875,0.0015875,blue ice,1,1,375 days 22:44:00,0.034845009282637125,-171.5888709,0.033939039,507865.874,-1353083.119,-0.007077102,0.032838377,-0.0129,0.0067,0.0288,0.02666875
GPSCDS-2,CDS-2,12/23/23 21:14,-76.75734117,159.4107232,0.0032,1892.8161,0.0146,0.712,0.742,0.001,ice surface,1/8/25 3:45,-76.75734114,159.4107294,0.0033,1892.8535,0.0146,0.75565,0.80406875,0.0015875,"blue ice, top of ice wall",1,1,381 days 06:31:00,0.1579621714367078,88.79036542,0.1514322391529069,508167.78895102895,-1352727.369,-0.139214968,-0.055678946,0.0374,0.0065,0.0292,0.04365
GPSCDS-3,CDS-3,12/23/23 22:17,-76.76164489,159.4083131,0.0032,1867.3064,0.0142,0.658,0.68,0.001,ice surface,1/8/25 2:04,-76.7616453,159.408318,0.0033,1867.3455,0.0148,0.7112,0.75961875,0.0015875,"blue ice, very bumpy",1,1,381 days 03:47:00,0.13284142923310743,110.06488337192673,0.12734995282780182,508058.1090526132,-1352262.569,-0.126080436,-0.001159275,0.039099999999962165,0.0065,0.029,0.0532
GPSCDS-4,CDS-4,12/23/23 22:42,-76.7585631,159.4131459,0.0032,1884.2321,0.0138,0.734,0.763,0.001,ice surface,1/8/25 2:52,-76.75856382,159.4131542,0.0045,1884.3405,0.0174,0.815975,0.86439375,0.0015875,blue ice,1,1,381 days 04:10:00,0.22605150659949813,110.73582479773751,0.21670685770463702,508063.26257222076,-1352622.931,-0.214555648,0.000557853,0.10840000000007421,0.0077,0.0312,0.081975
GPS044,044,12/17/23 1:46,-76.73252572,159.358777,0.0034,1936.9658,0.0154,1.065,1.097,0.001,ice surface,12/6/24 21:22,-76.73252552,159.35878,0.0034,1937.0051,0.0157,1.118,1.16641875,0.001,blue ice,1,1,355 days 19:36:00,0.079721589,73.80739246543304,0.08202341,510356.8367150397,-1354821.961,-0.065002695,-0.048688116,0.039300000000139335,0.0068,0.0311,0.053
GPS023,023,12/12/23 22:15,-76.71038175,159.2487351,0.0033,1943.6032,0.0148,0.628,0.664,0.001,ice surface,12/19/24 1:13,-76.71038009,159.2487448,0.0036,1943.595,0.015,0.66675,0.71516875,0.0015875,"blue ice, a few snow patches nearby",1,1,372 days 02:58:00,0.3091039947914801,53.343172603573315,0.30349525295050567,513821.4649904149,-1356118.555,-0.161858237,-0.253169442,-0.0082,0.0069,0.0298,0.03875
GPS-Track4-15,Track 4-15,12/22/23 23:04,-76.7935234,159.0676706,0.0377,2022.9289,0.2161,0.879,0.91,0.001,snow surface,12/13/24 23:01,-76.79351985,159.0676755,0.0308,2022.9254,0.183,0.8905875,0.93900625,0.0015875,"snow cover, including freshly fallen snow. Sastrugi",NA,NA,356 days 23:57:00,0.4139039921656302,17.507954884179192,0.42465852005195626,514835.40379820607,-1345941.513,0.025104909338592683,-0.419548822,-0.0035,0.0685,0.3991,0.0115875
GPS040,040,12/29/23 21:41,-76.72928987,159.0277526,0.0034,1988.6689,0.0146,1.562,1.588,0.001,snow surface,12/18/24 22:15,-76.72928602,159.0277505,0.0438,1988.6103,0.2305,1.4716125,1.52003125,0.0015875,"snow cover, sastrugi",1,NA,355 days 00:34:00,0.43144381252237773,-7.139390352,0.4439009930247844,518303.3163703433,-1352183.517,0.2070354820663621,-0.387553523,-0.0586,0.0472,0.2451,-0.0903875
GPS013,013,12/29/23 23:20,-76.71823754,159.1662432,0.0488,1970.5625,0.2413,0.991,1.021,0.001,,12/12/24 2:36,-76.71823492,159.1662496,0.0065,1970.4804,0.0341,1.00965,1.05806875,0.0015875,"blue ice, snow nearby snow patches and cracks",NA,1,348 days 03:16:00,0.33407206115869803,29.30970575569292,0.35063166763854725,515465.94406673044,-1354569.278,-0.051160794,-0.343310611,-0.0821,0.0553,0.2754,0.01865
GPS041,041,12/29/23 22:20,-76.72332824,159.0839601,0.0597,1985.3496,0.3472,0.737,0.763,0.001,snow surface,12/18/24 23:40,-76.72332465,159.0839585,0.0035,1985.4691,0.0149,0.758825,0.80724375,0.0015875,"snow cover, sastrugi",NA,1,355 days 01:20:00,0.40127585829827084,-5.846081624,0.4128619922350519,517210.8063343798,-1353304.24,0.1840181068208603,-0.364893146,0.11950000000001637,0.0632,0.3621,0.021825
GPS-Xa,Xa,12/26/23 23:33,-76.75077009,159.0611424,0.0573,1997.8768,0.3263,1.021,1.047,0.001,,12/14/24 2:05,-76.75076583,159.0611411,0.0033,1997.9013,0.0144,0.66675,0.71516875,0.0015875,"snow cover, including freshly fallen snow",NA,1,353 days 02:32:00,0.4748481754414449,-4.002152871,0.4913266177903336,516670.34720607696,-1350277.336,0.20506908958367198,-0.440956802,0.024499999999989086,0.0606,0.3407,-0.35425
